Netbeheerder;Klanttype;Contracttype;Tarieftype;Tariefdetail;Tariefnotering;Prijs
FA;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;50.9301576
FA;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;6.5594279
FA;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;78.7131348
FA;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;6.3662698
FA;ELEK_LS_DC;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;76.3952376
FA;ELEK_LS_DC;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FA;ELEK_LS_DC;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_LS_DC;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0044866
FA;ELEK_LS_DC;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0035893
FA;ELEK_LS_DC;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0002820
FA;ELEK_LS_DC;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.1557427
FA;ELEK_LS_DC;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_LS_DC;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_LS_DIGI;Afname;Tarieven voor netgebruik;Gemiddelde maandpiek;EUR/kW/jaar;49.4036563
FA;ELEK_LS_DIGI;Afname;Tarieven voor netgebruik;Gemiddelde maandpiek;EUR/kW/maand;4.1169714
FA;ELEK_LS_DIGI;Afname;Tarieven voor netgebruik;kWh-tarief;EUR/kW;0.0234492
FA;ELEK_LS_DIGI;Afname;Tarieven voor het databeheer;Laagspanningnet;EUR/jaar;17.85
FA;ELEK_LS_DIGI;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0254845
FA;ELEK_LS_DIGI;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0203876
FA;ELEK_LS_DIGI;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0015690
FA;ELEK_LS_DIGI;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.3276168
FA;ELEK_LS_DIGI;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_LS_DIGI;Injectie;Tarief databeheer;Laagspanningnet;EUR/jaar;57.65
FA;ELEK_LS_ANA;Afname;Tarieven voor netgebruik;Vaste term;EUR/jaar;123.51
FA;ELEK_LS_ANA;Afname;Tarieven voor netgebruik;Vaste term;EUR/kWh;0.0492427
FA;ELEK_LS_ANA;Afname;Tarieven voor het databeheer;Laagspanningnet;EUR/jaar;17.85
FA;ELEK_LS_ANA;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0254845
FA;ELEK_LS_ANA;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0203876
FA;ELEK_LS_ANA;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0015690
FA;ELEK_LS_ANA;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_LS_ANA;Injectie;Tarief databeheer;Laagspanningnet;EUR/jaar;57.65
FA;ELEK_LS_ANA_PRO;Afname;Tarieven voor netgebruik;Vaste term;EUR/jaar;123.51
FA;ELEK_LS_ANA_PRO;Afname;Tarieven voor netgebruik;Vaste term;EUR/kWh;0.0492427
FA;ELEK_LS_ANA_PRO;Afname;Tarieven voor het databeheer;Laagspanningnet;EUR/jaar;17.85
FA;ELEK_LS_ANA_PRO;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0254845
FA;ELEK_LS_ANA_PRO;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief exclusief nacht;EUR/kWh;0.0203876
FA;ELEK_LS_ANA_PRO;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0015690
FA;ELEK_LS_ANA_PRO;Afname;Aanvullend capaciteitstarief voor prosumenten met terugdraaiende teller;Aanvullend capaciteitstarief voor prosumenten met terugdraaiende teller;EUR/kW/jaar;51.54
FA;ELEK_LS_ANA_PRO;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_LS_ANA_PRO;Injectie;Tarief databeheer;Laagspanningnet;EUR/jaar;57.65
FHV;ELEK_HS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;2.1609100
FHV;ELEK_HS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;25.9309200
FHV;ELEK_HS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.7872425
FHV;ELEK_HS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;57.4469100
FHV;ELEK_HS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;3.2413650
FHV;ELEK_HS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;38.8963800
FHV;ELEK_HS1;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FHV;ELEK_HS1;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_HS1;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0003640
FHV;ELEK_HS1;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0000302
FHV;ELEK_HS1;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.0596319
FHV;ELEK_HS1;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FHV;ELEK_HS1;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_HS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.0925841
FHV;ELEK_HS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;37.1110092
FHV;ELEK_HS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;5.0116266
FHV;ELEK_HS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;60.1395192
FHV;ELEK_HS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.6388762
FHV;ELEK_HS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;55.6665144
FHV;ELEK_HS2;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FHV;ELEK_HS2;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FHV;ELEK_HS2;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0038645
FHV;ELEK_HS2;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0002753
FHV;ELEK_HS2;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.1508082
