Netbeheerder;Klanttype;Contracttype;Tariefonderdeel;Tariefnotering;Prijs
FMV;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.4941841
FMV;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FMV;T6;Afname;Databeheer MMR;EUR/jaar;0
FMV;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FMV;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FMV;T6;Afname;Pensioenen;EUR/kWh;0.0000038
FMV;T6;Afname;Heffingen;EUR/kWh;0.0000029
FMV;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FMV;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FMV;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FMV;LD;Afname;Databeheer AMR;EUR/jaar;0
FMV;LD;Afname;Databeheer MMR;EUR/jaar;0
FMV;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FMV;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FMV;LD;Afname;Pensioenen;EUR/kWh;0
FMV;LD;Afname;Heffingen;EUR/kWh;0
FMV;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FMV;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FMV;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FMV;MD;Afname;Databeheer AMR;EUR/jaar;0
FMV;MD;Afname;Databeheer MMR;EUR/jaar;0
FMV;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FMV;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FMV;MD;Afname;Pensioenen;EUR/kWh;0
FMV;MD;Afname;Heffingen;EUR/kWh;0
FW;T1;Afname;Basistarief Vaste Term;EUR/jaar;17.95
FW;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0249243
FW;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FW;T1;Afname;Databeheer AMR;EUR/jaar;0
FW;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FW;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FW;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0001546
FW;T1;Afname;Pensioenen;EUR/kWh;0.0002749
FW;T1;Afname;Heffingen;EUR/kWh;0.0000669
FW;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FW;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FW;T2;Afname;Basistarief Vaste Term;EUR/jaar;95.3
FW;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0094564
FW;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FW;T2;Afname;Databeheer AMR;EUR/jaar;0
FW;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FW;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FW;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0001546
FW;T2;Afname;Pensioenen;EUR/kWh;0.0002749
FW;T2;Afname;Heffingen;EUR/kWh;0.0000669
FW;T3;Afname;Basistarief Vaste Term;EUR/jaar;644.3
FW;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0057965
FW;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FW;T3;Afname;Databeheer AMR;EUR/jaar;0
FW;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FW;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FW;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0001546
FW;T3;Afname;Pensioenen;EUR/kWh;0.0002749
FW;T3;Afname;Heffingen;EUR/kWh;0.0000669
FW;T4;Afname;Basistarief Vaste Term;EUR/jaar;5981.55
FW;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004592
FW;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FW;T4;Afname;Databeheer AMR;EUR/jaar;0
FW;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FW;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FW;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FW;T4;Afname;Pensioenen;EUR/kWh;0.0000496
FW;T4;Afname;Heffingen;EUR/kWh;0.0000121
FW;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FW;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004592
FW;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;2.3926210
FW;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FW;T5;Afname;Databeheer MMR;EUR/jaar;0
FW;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FW;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FW;T5;Afname;Pensioenen;EUR/kWh;0.0000496
FW;T5;Afname;Heffingen;EUR/kWh;0.0000121
FW;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FW;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003759
FW;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.5757611
FW;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FW;T6;Afname;Databeheer MMR;EUR/jaar;0
FW;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FW;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FW;T6;Afname;Pensioenen;EUR/kWh;0.0000098
FW;T6;Afname;Heffingen;EUR/kWh;0.0000024
FW;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FW;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FW;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FW;LD;Afname;Databeheer AMR;EUR/jaar;0
FW;LD;Afname;Databeheer MMR;EUR/jaar;0
FW;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FW;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FW;LD;Afname;Pensioenen;EUR/kWh;0
FW;LD;Afname;Heffingen;EUR/kWh;0
FW;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FW;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FW;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FW;MD;Afname;Databeheer AMR;EUR/jaar;0
FW;MD;Afname;Databeheer MMR;EUR/jaar;0
FW;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FW;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FW;MD;Afname;Pensioenen;EUR/kWh;0
FW;MD;Afname;Heffingen;EUR/kWh;0
FZD;T1;Afname;Basistarief Vaste Term;EUR/jaar;17.36
FZD;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0241102
FZD;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FZD;T1;Afname;Databeheer AMR;EUR/jaar;0
FZD;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FZD;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FZD;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.000148
FZD;T1;Afname;Pensioenen;EUR/kWh;0.0002289
FZD;T1;Afname;Heffingen;EUR/kWh;0.000065
FZD;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FZD;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FZD;T2;Afname;Basistarief Vaste Term;EUR/jaar;92.19
FZD;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0091476
FZD;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FZD;T2;Afname;Databeheer AMR;EUR/jaar;0
FZD;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FZD;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FZD;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.000148
FZD;T2;Afname;Pensioenen;EUR/kWh;0.0002289
FZD;T2;Afname;Heffingen;EUR/kWh;0.000065
FZD;T3;Afname;Basistarief Vaste Term;EUR/jaar;623.25
FZD;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0056072
FZD;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FZD;T3;Afname;Databeheer AMR;EUR/jaar;0
FZD;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FZD;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FZD;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.000148
FZD;T3;Afname;Pensioenen;EUR/kWh;0.0002289
FZD;T3;Afname;Heffingen;EUR/kWh;0.000065
FZD;T4;Afname;Basistarief Vaste Term;EUR/jaar;5786.2
FZD;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004442
FZD;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FZD;T4;Afname;Databeheer AMR;EUR/jaar;0
FZD;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FZD;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FZD;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FZD;T4;Afname;Pensioenen;EUR/kWh;0.000046
FZD;T4;Afname;Heffingen;EUR/kWh;0.0000131
FZD;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FZD;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004442
FZD;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;2.3144801
FZD;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FZD;T5;Afname;Databeheer MMR;EUR/jaar;0
FZD;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FZD;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FZD;T5;Afname;Pensioenen;EUR/kWh;0.000046
FZD;T5;Afname;Heffingen;EUR/kWh;0.0000131
FZD;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FZD;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003636
FZD;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.5569573
FZD;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FZD;T6;Afname;Databeheer MMR;EUR/jaar;0
FZD;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FZD;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FZD;T6;Afname;Pensioenen;EUR/kWh;0.0000087
FZD;T6;Afname;Heffingen;EUR/kWh;0.0000025
FZD;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FZD;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FZD;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FZD;LD;Afname;Databeheer AMR;EUR/jaar;0
FZD;LD;Afname;Databeheer MMR;EUR/jaar;0
FZD;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FZD;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FZD;LD;Afname;Pensioenen;EUR/kWh;0
FZD;LD;Afname;Heffingen;EUR/kWh;0
FZD;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FZD;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FZD;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FZD;MD;Afname;Databeheer AMR;EUR/jaar;0
FZD;MD;Afname;Databeheer MMR;EUR/jaar;0
FZD;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FZD;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FZD;MD;Afname;Pensioenen;EUR/kWh;0
FZD;MD;Afname;Heffingen;EUR/kWh;0
