Netbeheerder;Klanttype;Contracttype;Tariefonderdeel;Tariefnotering;Prijs
FHV;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FHV;T2;Afname;Basistarief Vaste Term;EUR/jaar;88.09
FHV;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0087408
FHV;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;T2;Afname;Databeheer AMR;EUR/jaar;0
FHV;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FHV;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FHV;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0002427
FHV;T2;Afname;Pensioenen;EUR/kWh;0.0001994
FHV;T2;Afname;Heffingen;EUR/kWh;0.0000648
FHV;T3;Afname;Basistarief Vaste Term;EUR/jaar;595.54
FHV;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0053578
FHV;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;T3;Afname;Databeheer AMR;EUR/jaar;0
FHV;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FHV;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FHV;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0002427
FHV;T3;Afname;Pensioenen;EUR/kWh;0.0001994
FHV;T3;Afname;Heffingen;EUR/kWh;0.0000648
FHV;T4;Afname;Basistarief Vaste Term;EUR/jaar;5528.91
FHV;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004245
FHV;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;T4;Afname;Databeheer AMR;EUR/jaar;0
FHV;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FHV;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FHV;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FHV;T4;Afname;Pensioenen;EUR/kWh;0.0000445
FHV;T4;Afname;Heffingen;EUR/kWh;0.0000145
FHV;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FHV;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004245
FHV;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;2.2115643
FHV;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FHV;T5;Afname;Databeheer MMR;EUR/jaar;0
FHV;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FHV;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FHV;T5;Afname;Pensioenen;EUR/kWh;0.0000445
FHV;T5;Afname;Heffingen;EUR/kWh;0.0000145
FHV;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FHV;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003475
FHV;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.5321916
FHV;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FHV;T6;Afname;Databeheer MMR;EUR/jaar;0
FHV;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FHV;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FHV;T6;Afname;Pensioenen;EUR/kWh;0.0000079
FHV;T6;Afname;Heffingen;EUR/kWh;0.0000026
FHV;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FHV;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FHV;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;LD;Afname;Databeheer AMR;EUR/jaar;0
FHV;LD;Afname;Databeheer MMR;EUR/jaar;0
FHV;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FHV;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FHV;LD;Afname;Pensioenen;EUR/kWh;0
FHV;LD;Afname;Heffingen;EUR/kWh;0
FHV;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FHV;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FHV;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;MD;Afname;Databeheer AMR;EUR/jaar;0
FHV;MD;Afname;Databeheer MMR;EUR/jaar;0
FHV;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FHV;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FHV;MD;Afname;Pensioenen;EUR/kWh;0
FHV;MD;Afname;Heffingen;EUR/kWh;0
FI;T1;Afname;Basistarief Vaste Term;EUR/jaar;17.56
FI;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0243793
FI;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FI;T1;Afname;Databeheer AMR;EUR/jaar;0
FI;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FI;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FI;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0002076
FI;T1;Afname;Pensioenen;EUR/kWh;0.0001387
FI;T1;Afname;Heffingen;EUR/kWh;0.0000644
FI;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FI;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FI;T2;Afname;Basistarief Vaste Term;EUR/jaar;93.22
FI;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0092496
FI;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FI;T2;Afname;Databeheer AMR;EUR/jaar;0
FI;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FI;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FI;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0002076
FI;T2;Afname;Pensioenen;EUR/kWh;0.0001387
FI;T2;Afname;Heffingen;EUR/kWh;0.0000644
FI;T3;Afname;Basistarief Vaste Term;EUR/jaar;630.21
FI;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0056697
FI;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FI;T3;Afname;Databeheer AMR;EUR/jaar;0
FI;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FI;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FI;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0002076
FI;T3;Afname;Pensioenen;EUR/kWh;0.0001387
FI;T3;Afname;Heffingen;EUR/kWh;0.0000644
FI;T4;Afname;Basistarief Vaste Term;EUR/jaar;5850.76
FI;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004492
FI;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FI;T4;Afname;Databeheer AMR;EUR/jaar;0
FI;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FI;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FI;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FI;T4;Afname;Pensioenen;EUR/kWh;0.0000262
FI;T4;Afname;Heffingen;EUR/kWh;0.0000122
FI;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FI;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0004492
FI;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;2.3403032
FI;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FI;T5;Afname;Databeheer MMR;EUR/jaar;0
FI;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FI;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FI;T5;Afname;Pensioenen;EUR/kWh;0.0000262
FI;T5;Afname;Heffingen;EUR/kWh;0.0000122
FI;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FI;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003677
FI;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.5631714
FI;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FI;T6;Afname;Databeheer MMR;EUR/jaar;0
FI;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FI;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FI;T6;Afname;Pensioenen;EUR/kWh;0.000005
FI;T6;Afname;Heffingen;EUR/kWh;0.0000023
FI;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FI;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FI;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FI;LD;Afname;Databeheer AMR;EUR/jaar;0
