Jaar;Maand;Segment;Energietype;Contracttype;Handelsnaam;Productnaam;Variabel/Dynamisch;Prijsonderdeel;Indexatieparameter A (a.A + b.B + c.C + d.D + z);Beschrijving A;Waarde A (�/MWh) - VNR waarde;Waarde A (�/MWh) - laatst gekende waarde;Indexatieparameter B (a.A + b.B + c.C + d.D + z);Beschrijving B;Waarde B (�/MWh) - VNR waarde;Waarde B (�/MWh) - laatst gekende waarde;Indexatieparameter C (a.A + b.B + c.C + d.D + z);Beschrijving C;Waarde C (�/MWh) - VNR waarde;Waarde C (�/MWh) - laatst gekende waarde;Indexatieparameter D (a.A + b.B + c.C + d.D + z);Beschrijving D;Waarde D (�/MWh) - VNR waarde;Waarde D (�/MWh) - laatst gekende waarde;a;b;c;d;z;Prijs;source_file;Waarde A (€/MWh) - VNR waarde;Waarde A (€/MWh) - laatst gekende waarde;Waarde B (€/MWh) - VNR waarde;Waarde B (€/MWh) - laatst gekende waarde;Waarde C (€/MWh) - VNR waarde;Waarde C (€/MWh) - laatst gekende waarde;Waarde D (€/MWh) - VNR waarde;Waarde D (€/MWh) - laatst gekende waarde
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Tweevoudige meter dagtarief (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,1;;;;1,22;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Tweevoudige meter nachttarief (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,1;;;;1,22;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Uitsluitend nachtmeter (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,1;;;;1,22;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Vaste vergoeding (�);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);;;;;;150;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Enkelvoudige meter dagtarief (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0,11;0,00;0;0;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Kosten groene stroom (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,37;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;;;;;;1,10302;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Kosten WKK (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;;;;;;0,36414;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Tweevoudige meter dagtarief (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0;0,11;0;0;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Tweevoudige meter nachttarief (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0;0,00;0,11;0;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Uitsluitend nachtmeter (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0;0,00;0;0,11;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Variabel;Vaste vergoeding (�);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;;;;;;167,88;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel;Dynamisch;Dynamisch tarief;EPEX SPOT Belgium/Belpex (uur);Parameter voor dynamische contracten. Uurnoteringen BE day ahead. Bron: EPEX Spot/Belpex;79,84311;85,35196;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,11;;;;1,51;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel Online;Variabel;Enkelvoudige meter dagtarief (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0,11;0,00;0;0;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel Online;Variabel;Kosten groene stroom (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;;;;;;1,10302;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel Online;Variabel;Kosten WKK (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;;;;;;0,36414;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel Online;Variabel;Tweevoudige meter dagtarief (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0;0,11;0;0;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel Online;Variabel;Tweevoudige meter nachttarief (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0;0,00;0,11;0;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Bolt;Bolt Variabel Online;Variabel;Uitsluitend nachtmeter (c�/kWh);Q EPEX Spot Belgium/Belpex RLP_BE TH (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de daguren (24u) van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;85,31;Q EPEX Spot Belgium/Belpex RLP_BE HI (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dag-/piekuren van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;99,20000;Q EPEX Spot Belgium/Belpex RLP_BE LO (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de dal-/nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;Q EPEX Spot Belgium/Belpex RLP_BE UN (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per kwartaal. Weging o.b.v. het gemiddelde van de exclusief nachturen van de RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;72,19;0;0,00;0;0,11;1,51;10,84;master_var_dyn_2026.csv;;;;;;;;
