Postcode;Gemeente;DNB Elektriciteit;DNB Gas;GasType Oud;GasType Nieuw
1570;Tollembeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1651;Lot;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1750;Sint-Martens-Lennik;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L(H);H
1755;Kester;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1785;Hamme (Vl.Br.);Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1861;Wolvertem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1880;Nieuwenrode;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
2030;Antwerpen;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2110;Wijnegem;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2160;Wommelgem;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2235;Houtvenne;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2370;Arendonk;Fluvius Kempen;Fluvius Kempen;L;H
2390;Westmalle;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2520;Oelegem;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2531;Vremde;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2580;Beerzel;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2590;Berlaar;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2830;Tisselt;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2870;Breendonk;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2870;Puurs;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2880;Mariekerke;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2970;'s Gravenwezel;Fluvius Antwerpen;Fluvius Antwerpen;L;H
3012;Wilsele;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3020;Winksele;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3040;Huldenberg;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3272;Messelbroek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3293;Kaggevinne;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3294;Molenstede;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3350;Neerlinter;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3380;Glabbeek-Zuurbemde;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3390;Houwaart;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3401;Wezeren;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3450;Geetbets;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3461;Molenbeek-Wersbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3471;Hoeleden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3501;Wimmertingen;Fluvius Limburg;Fluvius Limburg;H;H
3540;Herk-de-Stad;Fluvius Limburg;Fluvius Limburg;L;H
3550;Zolder;Fluvius Limburg;Fluvius Limburg;L;H
3560;Meldert (Limb.);Fluvius Limburg;Fluvius Limburg;L;H
3570;Alken;Fluvius Limburg;Fluvius Limburg;H;H
3680;Opoeteren;Fluvius Limburg;Fluvius Limburg;H;H
3690;Zutendaal;Fluvius Limburg;Fluvius Limburg;H;H
3700;Diets-Heur;Fluvius Limburg;Fluvius Limburg;H;H
3700;Mal;Fluvius Limburg;Fluvius Limburg;H;H
3700;Neerrepen;Fluvius Limburg;Fluvius Limburg;H;H
3700;Vreren;Fluvius Limburg;Fluvius Limburg;H;H
3770;Kanne;Fluvius Limburg;Fluvius Limburg;H;H
3800;Groot-Gelmen;Fluvius Limburg;Fluvius Limburg;H;H
3840;Kuttekoven;Fluvius Limburg;Fluvius Limburg;H;H
3850;Binderveld;Fluvius Limburg;Fluvius Limburg;L;H
3870;Opheers;Fluvius Limburg;Fluvius Limburg;H;H
3870;Vechmaal;Fluvius Limburg;Fluvius Limburg;H;H
3890;Vorsen;Fluvius Limburg;Fluvius Limburg;L;H
3891;Borlo;Fluvius Limburg;Fluvius Limburg;L;H
3910;Neerpelt;Fluvius Limburg;Fluvius Limburg;H;H
3970;Leopoldsburg;Fluvius Limburg;Fluvius Limburg;H;H
8211;Aartrijke;Fluvius Imewo;Fluvius Imewo;H;H
8370;Uitkerke;Fluvius Imewo;Fluvius Imewo;H;H
8377;Houtave;Fluvius Imewo;Fluvius Imewo;H;H
8377;Meetkerke;Fluvius Imewo;Fluvius Imewo;H;H
8377;Zuienkerke;Fluvius Imewo;Fluvius Imewo;H;H
8380;Lissewege;Fluvius Imewo;Fluvius Imewo;H;H
8420;Wenduine;Fluvius Imewo;Fluvius Imewo;H;H
8431;Wilskerke;Fluvius West;Fluvius West;H;H
8510;Rollegem;Fluvius West;Fluvius West;H;H
8531;Bavikhove;Fluvius West;Fluvius West;H;H
8560;Wevelgem;Fluvius West;Fluvius West;H;H
8572;Kaster;Fluvius West;Fluvius West;H;H
8600;Pervijze;Fluvius West;Fluvius West;H;H
8620;Sint-Joris (Nieuwpoort);Fluvius West;Fluvius West;H;H
8640;Woesten;Fluvius West;Fluvius West;H;H
8690;Hoogstade;Fluvius West;Fluvius West;H;H
8691;Gijverinkhove;Fluvius West;Fluvius West;H;H
8691;Stavele;Fluvius West;Fluvius West;H;H
8710;Wielsbeke;Fluvius West;Fluvius West;H;H
8750;Zwevezele;Fluvius West;Fluvius West;H;H
8760;Meulebeke;Fluvius West;Fluvius West;H;H
8830;Gits;Fluvius West;Fluvius West;H;H
8890;Moorslede;Fluvius West;Fluvius West;H;H
8900;Dikkebus;Fluvius West;Fluvius West;H;H
8900;Sint-Jan;Fluvius West;Fluvius West;H;H
8930;Menen;Fluvius West;Fluvius West;H;H
8970;Poperinge;Fluvius West;Fluvius West;H;H
8972;Krombeke;Fluvius West;Fluvius West;H;H
9030;Mariakerke;Fluvius Imewo;Fluvius Imewo;H;H
9031;Drongen;Fluvius Imewo;Fluvius Imewo;H;H
9041;Oostakker;Fluvius Imewo;Fluvius Imewo;H;H
9100;Nieuwkerken-Waas;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9112;Sinaai;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9190;Stekene;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9200;Baasrode;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9200;Dendermonde;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9200;Grembergen;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9220;Moerzeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9310;Meldert (O.-Vl.);Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9310;Moorsel;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9340;Lede;Fluvius Imewo;Fluvius Imewo;H;H
9340;Oordegem;Fluvius Imewo;Fluvius Imewo;H;H
9340;Smetlede;Fluvius Imewo;Fluvius Imewo;H;H
9402;Meerbeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9450;Heldergem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9500;Ophasselt;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9506;Waarbeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9506;Zandbergen;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9550;Sint-Lievens-Esse;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9551;Ressegem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9667;Sint-Kornelis-Horebeke;Fluvius West;Fluvius West;H;H
9680;Etikhove;Fluvius West;Fluvius West;H;H
9681;Nukerke;Fluvius West;Fluvius West;H;H
9690;Ruien;Fluvius West;Fluvius West;H;H
9700;Bevere;Fluvius West;Fluvius West;H;H
9700;Edelare;Fluvius West;Fluvius West;H;H
9700;Melden;Fluvius West;Fluvius West;H;H
9770;Kruishoutem;Fluvius West;Fluvius West;H;H
9800;Wontergem;Fluvius Imewo;Fluvius Imewo;H;H
9810;Eke;Fluvius Imewo;Fluvius Imewo;H;H
9820;Schelderode;Fluvius Imewo;Fluvius Imewo;H;H
9850;Merendree;Fluvius Imewo;Fluvius Imewo;H;H
9850;Nevele;Fluvius Imewo;Fluvius Imewo;H;H
9880;Lotenhulle;Fluvius Imewo;Fluvius Imewo;H;H
9880;Poeke;Fluvius Imewo;Fluvius Imewo;H;H
9881;Bellem;Fluvius Imewo;Fluvius Imewo;H;H
9890;Gavere;Fluvius West;Fluvius West;H;H
9910;Ursel;Fluvius Imewo;Fluvius Imewo;H;H
9940;Ertvelde;Fluvius Imewo;Fluvius Imewo;H;H
9992;Middelburg;Fluvius Imewo;Fluvius Imewo;H;H
1547;Bever/Biévène;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
1654;Huizingen;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1674;Bellingen;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1742;Sint-Katherina-Lombeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H(L);H
1750;Gaasbeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1750;Sint-Kwintens-Lennik;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H-L;H
1755;Oetingen;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1760;Roosdaal;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1780;Wemmel;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1790;Hekelgem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1930;Zaventem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1970;Wezembeek-Oppem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1980;Eppegem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1980;Zemst;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
2060;Antwerpen;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2170;Merksem;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2221;Booischot;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2310;Rijkevorsel;Fluvius Kempen;Fluvius Kempen;L;H
2387;Zondereigen;Fluvius Kempen;Fluvius Kempen;L;H
2430;Eindhout;Fluvius Limburg;Fluvius Limburg;L;H
2460;Lichtaart;Fluvius Kempen;Fluvius Kempen;L;H
2547;Lint;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2600;Berchem;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2800;Mechelen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2812;Muizen (Mechelen);Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2830;Heindonk;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2870;Liezele;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2890;Oppuurs;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2930;Brasschaat;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2960;Sint-Lenaarts;Fluvius Antwerpen;Fluvius Antwerpen;L;H
3040;Loonbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3052;Blanden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3053;Haasrode;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3060;Korbeek-Dijle;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3080;Vossem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3110;Rotselaar;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3111;Wezemaal;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3128;Baal;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3200;Aarschot;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3201;Langdorp;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3210;Lubbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3212;Pellenberg;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3220;Holsbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3290;Deurne (Vl.Br.);Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3300;Kumtich;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3300;Sint-Margriete-Houtem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3320;Hoegaarden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3350;Melkwezer;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3350;Neerhespen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3370;Roosbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3400;Landen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3400;Rumsdorp;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3401;Walshoutem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3440;Budingen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3440;Halle-Booienhoven;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3440;Helen-Bos;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3440;Zoutleeuw;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3454;Rummen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3460;Bekkevoort;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3470;Kortenaken;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3512;Stevoort;Fluvius Limburg;Fluvius Limburg;L;H
3520;Zonhoven;Fluvius Limburg;Fluvius Limburg;H;H
3630;Eisden;Fluvius Limburg;Fluvius Limburg;H;H
3650;Rotem;Fluvius Limburg;Fluvius Limburg;H;H
3670;Meeuwen;Fluvius Limburg;Fluvius Limburg;H;H
3670;Wijshagen;Fluvius Limburg;Fluvius Limburg;H;H
3720;Kortessem;Fluvius Limburg;Fluvius Limburg;H;H
3721;Vliermaalroot;Fluvius Limburg;Fluvius Limburg;H;H
3732;Schalkhoven;Fluvius Limburg;Fluvius Limburg;H;H
3742;Martenslinde;Fluvius Limburg;Fluvius Limburg;H;H
3793;Teuven;Fluvius Limburg;;H;Niet Fluvius
3803;Duras;Fluvius Limburg;Fluvius Limburg;L;H
3840;Groot-Loon;Fluvius Limburg;Fluvius Limburg;H;H
3850;Kozen;Fluvius Limburg;Fluvius Limburg;L;H
3900;Overpelt;Fluvius Limburg;Fluvius Limburg;H;H
3910;Sint-Huibrechts-Lille;Fluvius Limburg;Fluvius Limburg;H;H
3920;Lommel;Fluvius Limburg;Fluvius Limburg;H;H
3930;Hamont;Fluvius Limburg;Fluvius Limburg;H;H
3945;Oostham;Fluvius Limburg;Fluvius Limburg;L;H
3950;Reppel;Fluvius Limburg;Fluvius Limburg;H;H
3990;Peer;Fluvius Limburg;Fluvius Limburg;H;H
8000;Koolkerke;Fluvius Imewo;Fluvius Imewo;H;H
8020;Ruddervoorde;Fluvius Imewo;Fluvius Imewo;H;H
8210;Zedelgem;Fluvius Imewo;Fluvius Imewo;H;H
8340;Moerkerke;Fluvius Imewo;Fluvius Imewo;H;H
8433;Schore;Fluvius West;Fluvius West;H;H
8433;Sint-Pieters-Kapelle (W.-Vl.);Fluvius West;Fluvius West;H;H
8470;Gistel;Fluvius West;Fluvius West;H;H
8470;Zevekote;Fluvius West;Fluvius West;H;H
8480;Eernegem;Fluvius West;Fluvius West;H;H
8480;Ichtegem;Fluvius West;Fluvius West;H;H
8540;Deerlijk;Fluvius West;Fluvius West;H;H
8554;Sint-Denijs;Fluvius West;Fluvius West;H;H
8560;Gullegem;Fluvius West;Fluvius West;H;H
8600;Leke;Fluvius West;Fluvius West;H;H
8600;Nieuwkapelle;Fluvius West;Fluvius West;H;H
8600;Sint-Jacobs-Kapelle;Fluvius West;Fluvius West;H;H
8670;Wulpen;Fluvius West;Fluvius West;H;H
8680;Zande;Fluvius West;Fluvius West;H;H
8690;Sint-Rijkers;Fluvius West;Fluvius West;H;H
8710;Sint-Baafs-Vijve;Fluvius West;Fluvius West;H;H
8730;Beernem;Fluvius Imewo;Fluvius Imewo;H;H
8730;Oedelem;Fluvius Imewo;Fluvius Imewo;H;H
8740;Egem;Fluvius West;Fluvius West;H;H
8780;Oostrozebeke;Fluvius West;Fluvius West;H;H
8791;Beveren (Leie);Fluvius West;Fluvius West;H;H
8820;Torhout;Fluvius West;Fluvius West;H;H
8830;Hooglede;Fluvius West;Fluvius West;H;H
8840;Oostnieuwkerke;Fluvius West;Fluvius West;H;H
8851;Koolskamp;Fluvius West;Fluvius West;H;H
8860;Lendelede;Fluvius West;Fluvius West;H;H
8880;Ledegem;Fluvius West;Fluvius West;H;H
8920;Poelkapelle;Fluvius West;Fluvius West;H;H
8950;Nieuwkerke;Fluvius West;Fluvius West;H;H
8957;Mesen/Messines;Fluvius West;Fluvius West;H;H
8980;Beselare;Fluvius West;Fluvius West;H;H
9051;Sint-Denijs-Westrem;Fluvius Imewo;Fluvius Imewo;H;H
9052;Zwijnaarde;Fluvius Imewo;Fluvius Imewo;H;H
9080;Zaffelare;Fluvius Imewo;Fluvius Imewo;H;H
9111;Belsele;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9120;Kallo (Beveren-Waas);Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9140;Elversele;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9140;Tielrode;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9150;Bazel;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9255;Buggenhout;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9260;Schellebelle;Fluvius Imewo;Fluvius Imewo;H;H
9280;Denderbelle;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9300;Aalst;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9400;Lieferinge;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9404;Aspelare;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9406;Outer;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9420;Mere;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9450;Haaltert;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9500;Zarlardinge;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9506;Nieuwenhove;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9506;Smeerebbe-Vloerzegem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9520;Zonnegem;Fluvius Imewo;Fluvius Imewo;H;H
9521;Letterhoutem;Fluvius Imewo;Fluvius Imewo;H;H
9552;Borsbeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9620;Sint-Maria-Oudenhove;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9630;Sint-Denijs-Boekel;Fluvius West;Fluvius West;H;H
9690;Berchem (O.-Vl.);Fluvius West;Fluvius West;H;H
9690;Kwaremont;Fluvius West;Fluvius West;H;H
9700;Eine;Fluvius West;Fluvius West;H;H
9700;Oudenaarde;Fluvius West;Fluvius West;H;H
9700;Welden;Fluvius West;Fluvius West;H;H
9750;Ouwegem;Fluvius West;Fluvius West;H;H
9790;Moregem;Fluvius West;Fluvius West;H;H
9790;Petegem-aan-de-Schelde;Fluvius West;Fluvius West;H;H
9800;Deinze;Fluvius Imewo;Fluvius Imewo;H;H
9800;Gottem;Fluvius Imewo;Fluvius Imewo;H;H
9800;Zeveren;Fluvius Imewo;Fluvius Imewo;H;H
9820;Munte;Fluvius Imewo;Fluvius Imewo;H;H
9860;Gijzenzele;Fluvius Imewo;Fluvius Imewo;H;H
9890;Baaigem;Fluvius West;Fluvius West;H;H
9910;Knesselare;Fluvius Imewo;Fluvius Imewo;H;H
9921;Vinderhoute;Fluvius Imewo;Fluvius Imewo;H;H
9950;Waarschoot;Fluvius Imewo;Fluvius Imewo;H;H
9980;Sint-Laureins;Fluvius Imewo;Fluvius Imewo;H;H
1500;Halle;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1502;Lembeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1570;Galmaarden;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1600;Oudenaken;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1630;Linkebeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1640;Sint-Genesius-Rode;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1670;Pepingen;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1701;Itterbeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1745;Mazenzele;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1790;Essene;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1790;Teralfene;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1800;Vilvoorde;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1840;Londerzeel;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1852;Beigem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1853;Strombeek-Bever;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1933;Sterrebeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
2040;Antwerpen;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2040;Berendrecht;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2220;Hallaar;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2243;Pulle;Fluvius Kempen;Fluvius Kempen;L;H
2275;Lille;Fluvius Kempen;Fluvius Kempen;L;H
2280;Grobbendonk;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2328;Meerle;Fluvius Kempen;Fluvius Kempen;L;H
2431;Veerle;Fluvius Limburg;Fluvius Limburg;L;H
2460;Tielen;Fluvius Kempen;Fluvius Kempen;L;H
2491;Olmen;Fluvius Kempen;Fluvius Kempen;L;H
2811;Hombeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2811;Leest;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2890;Lippelo;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2960;Sint-Job-in-'t-Goor;Fluvius Antwerpen;Fluvius Antwerpen;L;H
3071;Erps-Kwerps;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3078;Everberg;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3130;Begijnendijk;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3150;Tildonk;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3190;Boortmeerbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3360;Korbeek-Lo;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3390;Sint-Joris-Winge;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3400;Neerwinden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3500;Sint-Lambrechts-Herk;Fluvius Limburg;Fluvius Limburg;H;H
3510;Kermt;Fluvius Limburg;Fluvius Limburg;L;H
3620;Lanaken;Fluvius Limburg;Fluvius Limburg;H;H
3620;Neerharen;Fluvius Limburg;Fluvius Limburg;H;H
3620;Veldwezelt;Fluvius Limburg;Fluvius Limburg;H;H
3650;Lanklaar;Fluvius Limburg;Fluvius Limburg;H;H
3650;Stokkem;Fluvius Limburg;Fluvius Limburg;H;H
3668;Niel-bij-As;Fluvius Limburg;Fluvius Limburg;H;H
3680;Neeroeteren;Fluvius Limburg;Fluvius Limburg;H;H
3700;Berg (Limb.);Fluvius Limburg;Fluvius Limburg;H;H
3700;'s Herenelderen;Fluvius Limburg;Fluvius Limburg;H;H
3740;Bilzen;Fluvius Limburg;Fluvius Limburg;H;H
3740;Eigenbilzen;Fluvius Limburg;Fluvius Limburg;H;H
3740;Munsterbilzen;Fluvius Limburg;Fluvius Limburg;H;H
3770;Riemst;Fluvius Limburg;Fluvius Limburg;H;H
3800;Aalst (Limb.);Fluvius Limburg;Fluvius Limburg;H;H
3800;Gelinden;Fluvius Limburg;Fluvius Limburg;H;H
3803;Wilderen;Fluvius Limburg;Fluvius Limburg;H;H
3840;Gotem;Fluvius Limburg;Fluvius Limburg;H;H
3840;Rijkel;Fluvius Limburg;Fluvius Limburg;H;H
3870;Horpmaal;Fluvius Limburg;Fluvius Limburg;H;H
3890;Boekhout;Fluvius Limburg;Fluvius Limburg;L;H
3960;Gerdingen;Fluvius Limburg;Fluvius Limburg;H;H
3971;Heppen;Fluvius Limburg;Fluvius Limburg;H;H
3980;Tessenderlo;Fluvius Limburg;Fluvius Limburg;L;H
3990;Grote-Brogel;Fluvius Limburg;Fluvius Limburg;H;H
8200;Sint-Michiels;Fluvius Imewo;Fluvius Imewo;H;H
8340;Sijsele;Fluvius Imewo;Fluvius Imewo;H;H
8400;Oostende;Fluvius Imewo;Fluvius Imewo;H;H
8421;Vlissegem;Fluvius Imewo;Fluvius Imewo;H;H
8434;Lombardsijde;Fluvius West;Fluvius West;H;H
8450;Bredene;Fluvius Imewo;Fluvius Imewo;H;H
8460;Roksem;Fluvius West;Fluvius West;H;H
8460;Westkerke;Fluvius West;Fluvius West;H;H
8490;Varsenare;Fluvius Imewo;Fluvius Imewo;H;H
8511;Aalbeke;Fluvius West;Fluvius West;H;H
8570;Gijzelbrechtegem;Fluvius West;Fluvius West;H;H
8600;Vladslo;Fluvius West;Fluvius West;H;H
8630;Eggewaartskapelle;Fluvius West;Fluvius West;H;H
8630;Wulveringem;Fluvius West;Fluvius West;H;H
8660;De Panne;Fluvius West;Fluvius West;H;H
8690;Oeren;Fluvius West;Fluvius West;H;H
8700;Kanegem;Fluvius West;Fluvius West;H;H
8700;Schuiferskapelle;Fluvius West;Fluvius West;H;H
8880;Sint-Eloois-Winkel;Fluvius West;Fluvius West;H;H
8902;Hollebeke;Fluvius West;Fluvius West;H;H
8904;Zuidschote;Fluvius West;Fluvius West;H;H
8940;Wervik;Fluvius West;Fluvius West;H;H
8980;Zandvoorde (Zonnebeke);Fluvius West;Fluvius West;H;H
